x_mm,r_mm
0.000000000000000000e+00,1.700000000000000000e+01
6.030150753768843963e-02,1.699936955934441229e+01
1.206030150753768793e-01,1.699748671389065535e+01
1.809045226130653328e-01,1.699436417840826508e+01
2.412060301507537585e-01,1.699001466766675961e+01
3.015075376884421843e-01,1.698445089643566419e+01
3.618090452261306655e-01,1.697768557948450407e+01
4.221105527638190913e-01,1.696973143158280450e+01
4.824120603015075170e-01,1.696060116750008362e+01
5.427135678391959983e-01,1.695030750200587377e+01
6.030150753768843686e-01,1.693886314986970021e+01
6.633165829145728498e-01,1.692628082586107752e+01
7.236180904522613311e-01,1.691257324474954160e+01
7.839195979899497013e-01,1.689775312130461060e+01
8.442211055276381826e-01,1.688183317029580977e+01
9.045226130653265528e-01,1.686482610649266789e+01
9.648241206030150341e-01,1.684674464466470312e+01
1.025125628140703515e+00,1.682760149958143714e+01
1.085427135678391997e+00,1.680740938601240941e+01
1.145728643216080256e+00,1.678618101872713098e+01
1.206030150753768737e+00,1.676392911249513062e+01
1.266331658291457218e+00,1.674066638208593005e+01
1.326633165829145700e+00,1.671640554226905806e+01
1.386934673366834181e+00,1.669115930781403634e+01
1.447236180904522662e+00,1.666494039349039369e+01
1.507537688442210921e+00,1.663776151406764825e+01
1.567839195979899403e+00,1.660963538431532882e+01
1.628140703517587884e+00,1.658057471900295710e+01
1.688442211055276365e+00,1.655059223290006187e+01
1.748743718592964846e+00,1.651970064077616485e+01
1.809045226130653106e+00,1.648791265740078771e+01
1.869346733668341587e+00,1.645524099754345926e+01
1.929648241206030068e+00,1.642169837597370474e+01
1.989949748743718549e+00,1.638729750746104585e+01
2.050251256281407031e+00,1.635205110677500429e+01
2.110552763819095290e+00,1.631597188868511239e+01
2.170854271356783993e+00,1.627907256796088831e+01
2.231155778894472252e+00,1.624136585937185728e+01
2.291457286432160512e+00,1.620286447768754456e+01
2.351758793969849215e+00,1.616358113767747895e+01
2.412060301507537474e+00,1.612352855411117858e+01
2.472361809045226178e+00,1.608271944175817225e+01
2.532663316582914437e+00,1.604116651538797811e+01
2.592964824120602696e+00,1.599888248977013205e+01
2.653266331658291399e+00,1.595588007967414690e+01
2.713567839195979658e+00,1.591217199986955499e+01
2.773869346733668362e+00,1.586777096512587448e+01
2.834170854271356621e+00,1.582268969021263594e+01
2.894472361809045324e+00,1.577694088989935928e+01
2.954773869346733584e+00,1.573053727895557152e+01
3.015075376884421843e+00,1.568349157215079615e+01
3.075376884422110546e+00,1.563581648425456017e+01
3.135678391959798805e+00,1.558752473003638528e+01
3.195979899497487509e+00,1.553862902426579495e+01
3.256281407035175768e+00,1.548914208171231621e+01
3.316582914572864027e+00,1.543907661714547253e+01
3.376884422110552730e+00,1.538844534533478914e+01
3.437185929648240990e+00,1.533726098104979130e+01
3.497487437185929693e+00,1.528553623906000070e+01
3.557788944723617952e+00,1.523328383413494258e+01
3.618090452261306211e+00,1.518051648104414397e+01
3.678391959798994915e+00,1.512724689455712657e+01
3.738693467336683174e+00,1.507348778944341738e+01
3.798994974874371877e+00,1.501925188047253990e+01
3.859296482412060136e+00,1.496455188241401579e+01
3.919597989949748396e+00,1.490940051003737210e+01
3.979899497487437099e+00,1.485381047811213406e+01
4.040201005025125802e+00,1.479779450140782515e+01
4.100502512562814061e+00,1.474136529469396883e+01
4.160804020100502321e+00,1.468453557274009214e+01
4.221105527638190580e+00,1.462731805031571852e+01
4.281407035175878839e+00,1.456972544219037147e+01
4.341708542713567986e+00,1.451177046313357621e+01
4.402010050251256246e+00,1.445346582791485801e+01
4.462311557788944505e+00,1.439482425130373855e+01
4.522613065326632764e+00,1.433585844806974663e+01
4.582914572864321023e+00,1.427658113298240394e+01
4.643216080402010171e+00,1.421700502081123396e+01
4.703517587939698430e+00,1.415714282632576548e+01
4.763819095477386689e+00,1.409700726429551843e+01
4.824120603015074948e+00,1.403661104949001981e+01
4.884422110552763208e+00,1.397596689667879311e+01
4.944723618090452355e+00,1.391508752063136356e+01
5.005025125628140614e+00,1.385398563611725464e+01
5.065326633165828873e+00,1.379267395790599160e+01
5.125628140703517133e+00,1.373116520076709790e+01
5.185929648241205392e+00,1.366947207947010234e+01
5.246231155778894539e+00,1.360760730878452307e+01
5.306532663316582799e+00,1.354558360347988710e+01
5.366834170854271058e+00,1.348341367832572146e+01
5.427135678391959317e+00,1.342111024809154962e+01
5.487437185929647576e+00,1.335868602754689149e+01
5.547738693467336724e+00,1.329615373146127588e+01
5.608040201005024983e+00,1.323352607460422803e+01
5.668341708542713242e+00,1.317081577174526963e+01
5.728643216080401501e+00,1.310803553765392948e+01
5.788944723618090649e+00,1.304519808709972573e+01
5.849246231155778908e+00,1.298231613485218716e+01
5.909547738693467167e+00,1.291940239568083726e+01
5.969849246231155426e+00,1.285646958435519949e+01
6.030150753768843686e+00,1.279353041564480087e+01
6.090452261306532833e+00,1.273059760431916487e+01
6.150753768844221092e+00,1.266768386514781497e+01
6.211055276381909351e+00,1.260480191290027463e+01
6.271356783919597611e+00,1.254196446234607265e+01
6.331658291457285870e+00,1.247918422825473073e+01
6.391959798994975017e+00,1.241647392539577410e+01
6.452261306532663276e+00,1.235384626853872447e+01
6.512562814070351536e+00,1.229131397245310886e+01
6.572864321608039795e+00,1.222888975190845429e+01
6.633165829145728054e+00,1.216658632167428067e+01
6.693467336683417201e+00,1.210441639652011325e+01
6.753768844221105461e+00,1.204239269121547551e+01
6.814070351758793720e+00,1.198052792052989801e+01
6.874371859296481979e+00,1.191883479923290068e+01
6.934673366834170238e+00,1.185732604209400876e+01
6.994974874371859386e+00,1.179601436388274394e+01
7.055276381909547645e+00,1.173491247936863502e+01
7.115577889447235904e+00,1.167403310332120725e+01
7.175879396984924163e+00,1.161338895050998232e+01
7.236180904522612423e+00,1.155299273570448193e+01
7.296482412060301570e+00,1.149285717367423487e+01
7.356783919597989829e+00,1.143299497918876639e+01
7.417085427135678088e+00,1.137341886701759641e+01
7.477386934673366348e+00,1.131414155193025550e+01
7.537688442211054607e+00,1.125517574869626181e+01
7.597989949748743754e+00,1.119653417208514412e+01
7.658291457286432014e+00,1.113822953686642236e+01
7.718592964824120273e+00,1.108027455780962889e+01
7.778894472361808532e+00,1.102268194968428361e+01
7.839195979899496791e+00,1.096546442725990822e+01
7.899497487437185939e+00,1.090863470530603152e+01
7.959798994974874198e+00,1.085220549859217698e+01
8.020100502512562457e+00,1.079618952188786629e+01
8.080402010050251604e+00,1.074059948996263003e+01
8.140703517587938975e+00,1.068544811758598634e+01
8.201005025125628123e+00,1.063074811952746401e+01
8.261306532663315494e+00,1.057651221055658475e+01
8.321608040201004641e+00,1.052275310544287201e+01
8.381909547738693789e+00,1.046948351895585638e+01
8.442211055276381160e+00,1.041671616586505600e+01
8.502512562814070307e+00,1.036446376094000144e+01
8.562814070351757678e+00,1.031273901895021083e+01
8.623115577889446826e+00,1.026155465466521299e+01
8.683417085427135973e+00,1.021092338285452783e+01
8.743718592964823344e+00,1.016085791828768592e+01
8.804020100502512491e+00,1.011137097573420718e+01
8.864321608040199862e+00,1.006247526996361685e+01
8.924623115577889010e+00,1.001418351574544019e+01
8.984924623115578157e+00,9.966508427849202434e+00
9.045226130653265528e+00,9.919462721044428832e+00
9.105527638190954676e+00,9.873059110100641078e+00
9.165829145728642047e+00,9.827310309787367970e+00
9.226130653266331194e+00,9.782229034874127649e+00
9.286432160804020342e+00,9.737828000130445361e+00
9.346733668341707713e+00,9.694119920325855233e+00
9.407035175879396860e+00,9.651117510229870078e+00
9.467336683417084231e+00,9.608833484612020470e+00
9.527638190954773378e+00,9.567280558241829880e+00
9.587939698492462526e+00,9.526471445888821776e+00
9.648241206030149897e+00,9.486418862322523182e+00
9.708542713567839044e+00,9.447135522312455791e+00
9.768844221105526415e+00,9.408634140628144849e+00
9.829145728643215563e+00,9.370927432039110272e+00
9.889447236180904710e+00,9.334028111314886189e+00
9.949748743718592081e+00,9.297948893224994293e+00
1.001005025125628123e+01,9.262702492538956278e+00
1.007035175879396860e+01,9.228301624026297389e+00
1.013065326633165775e+01,9.194759002456539321e+00
1.019095477386934689e+01,9.162087342599210871e+00
1.025125628140703427e+01,9.130299359223835509e+00
1.031155778894472341e+01,9.099407767099934929e+00
1.037185929648241078e+01,9.069425280997045036e+00
1.043216080402009993e+01,9.040364615684667982e+00
1.049246231155778908e+01,9.012238485932352106e+00
1.055276381909547645e+01,8.985059606509608443e+00
1.061306532663316560e+01,8.958840692185962240e+00
1.067336683417085297e+01,8.933594457730944072e+00
1.073366834170854212e+01,8.909333617914068526e+00
1.079396984924623126e+01,8.886070887504871507e+00
1.085427135678391863e+01,8.863818981272872932e+00
1.091457286432160778e+01,8.842590613987589165e+00
1.097487437185929515e+01,8.822398500418561440e+00
1.103517587939698430e+01,8.803255355335299015e+00
1.109547738693467345e+01,8.785173893507334242e+00
1.115577889447236082e+01,8.768166829704187037e+00
1.121608040201004997e+01,8.752246878695387977e+00
1.127638190954773734e+01,8.737426755250458754e+00
1.133668341708542648e+01,8.723719174138921062e+00
1.139698492462311563e+01,8.711136850130298370e+00
1.145728643216080300e+01,8.699692497994128360e+00
1.151758793969849215e+01,8.689398832499916736e+00
1.157788944723618130e+01,8.680268568417199404e+00
1.163819095477386867e+01,8.672314420515496280e+00
1.169849246231155782e+01,8.665549103564337940e+00
1.175879396984924519e+01,8.659985332333240748e+00
1.181909547738693433e+01,8.655635821591735279e+00
1.187939698492462348e+01,8.652513286109339674e+00
1.193969849246231085e+01,8.650630440655589837e+00
1.200000000000000000e+01,8.650000000000000355e+00
1.500000000000000000e+01,8.650000000000000355e+00
1.508361204013377943e+01,8.650201648790629250e+00
1.516722408026755886e+01,8.650804902057062762e+00
1.525083612040133829e+01,8.651807220141124688e+00
1.533444816053511772e+01,8.653206063384637048e+00
1.541806020066889715e+01,8.654998892129414756e+00
1.550167224080267481e+01,8.657183166717286937e+00
1.558528428093645424e+01,8.659756347490070283e+00
1.566889632107023367e+01,8.662715894789588589e+00
1.575250836120401310e+01,8.666059268957658546e+00
1.583612040133779253e+01,8.669783930336107503e+00
1.591973244147157196e+01,8.673887339266753926e+00
1.600334448160534961e+01,8.678366956091418061e+00
1.608695652173912904e+01,8.683220241151921925e+00
1.617056856187290848e+01,8.688444654790091093e+00
1.625418060200668791e+01,8.694037657347740478e+00
1.633779264214046734e+01,8.699996709166695652e+00
1.642140468227424677e+01,8.706319270588773307e+00
1.650501672240802620e+01,8.713002801955800791e+00
1.658862876254180563e+01,8.720044763609596572e+00
1.667224080267558506e+01,8.727442615891980893e+00
1.675585284280936449e+01,8.735193819144779326e+00
1.683946488294314392e+01,8.743295833709806786e+00
1.692307692307692335e+01,8.751746119928892398e+00
1.700668896321070278e+01,8.760542138143847524e+00
1.709030100334448221e+01,8.769681348696503065e+00
1.717391304347826164e+01,8.779161211928673936e+00
1.725752508361204107e+01,8.788979188182185709e+00
1.734113712374582050e+01,8.799132737798856851e+00
1.742474916387959993e+01,8.809619321120511160e+00
1.750836120401337936e+01,8.820436398488965324e+00
1.759197324414715524e+01,8.831581430246044917e+00
1.767558528428093467e+01,8.843051876733573735e+00
1.775919732441471410e+01,8.854845198293364916e+00
1.784280936454849353e+01,8.866958855267247586e+00
1.792642140468227296e+01,8.879390307997040210e+00
1.801003344481605239e+01,8.892137016824561258e+00
1.809364548494983183e+01,8.905196442091639852e+00
1.817725752508361126e+01,8.918566044140087357e+00
1.826086956521739069e+01,8.932243283311731119e+00
1.834448160535117012e+01,8.946225619948391383e+00
1.842809364548494955e+01,8.960510514391891945e+00
1.851170568561872898e+01,8.975095426984049496e+00
1.859531772575250841e+01,8.989977818066686055e+00
1.867892976588628784e+01,9.005155147981627195e+00
1.876254180602006727e+01,9.020624877070691383e+00
1.884615384615384670e+01,9.036384465675698863e+00
1.892976588628762613e+01,9.052431374138471654e+00
1.901337792642140556e+01,9.068763062800831776e+00
1.909698996655518499e+01,9.085376992004601249e+00
1.918060200668896442e+01,9.102270622091598540e+00
1.926421404682274385e+01,9.119441413403650998e+00
1.934782608695652328e+01,9.136886826282573537e+00
1.943143812709030271e+01,9.154604321070189954e+00
1.951505016722408214e+01,9.172591358108322268e+00
1.959866220735786158e+01,9.190845397738790723e+00
1.968227424749164101e+01,9.209363900303415562e+00
1.976588628762541688e+01,9.228144326144020582e+00
1.984949832775919631e+01,9.247184135602424249e+00
1.993311036789297575e+01,9.266480789020453912e+00
2.001672240802675518e+01,9.286031746739924486e+00
2.010033444816053461e+01,9.305834469102659767e+00
2.018394648829431404e+01,9.325886416450481775e+00
2.026755852842809347e+01,9.346185049125210753e+00
2.035117056856187290e+01,9.366727827468666945e+00
2.043478260869565233e+01,9.387512211822674146e+00
2.051839464882943176e+01,9.408535662529050825e+00
2.060200668896321119e+01,9.429795639929622553e+00
2.068561872909699062e+01,9.451289604366207797e+00
2.076923076923077005e+01,9.473015016180626802e+00
2.085284280936454948e+01,9.494969335714703362e+00
